id;type;lat1;lon1;lat2;lon2;lat3;lon3;lat4;lon4;lat5;lon5;lat6;lon6;lat7;lon7
8069fffffffffff;hex;15.06330111473561;107.74262433198102;2.770302579167013;106.41168295379833;-3.8245323459249;115.67172827000326;0.17017772412858376;126.31795557186994;12.387611570633617;128.2235738321257;19.25219490473866;118.80300158646772;15.06330111473561;107.74262433198102
8079fffffffffff;hex;11.222876232379509;-138.42043748614526;1.677294938194503;-146.33638072286845;-8.893462571252648;-142.15106462869957;-9.876090877671764;-131.29818275576594;-1.447642860200202;-124.2984927797677;8.931891500446858;-127.11406580207421;11.222876232379509;-138.42043748614526
80dbfffffffffff;hex;-55.70676846515228;-174.47635345070967;-45.184248689706436;-177.97343103461537;-40.869133191665526;167.61587312700956;-46.760277243692265;152.50707693963324;-58.03211375817634;150.11766435550592;-63.09505407752545;169.5550224552217;-55.70676846515228;-174.47635345070967
80b9fffffffffff;hex;-38.734209457703855;139.65222628239854;-26.664335930022155;142.84484655885802;-18.91475685791242;133.81752542331915;-21.814638994608305;122.76988803599198;-31.877885956365844;117.97747445215549;-40.975558199255886;125.1209872207507;-38.734209457703855;139.65222628239854
8037fffffffffff;hex;43.44325276436556;-153.03739182353243;34.99400669710761;-161.64707805135706;24.69671125803906;-156.08998858841753;22.885971422359727;-142.7188705783351;31.285608665560563;-134.10648897177788;41.457139817335765;-138.450291223663;43.44325276436556;-153.03739182353243
80d5fffffffffff;hex;-58.401544870352694;-154.91727767329215;-49.77934286766213;-143.88327636822538;-39.64331054771269;-151.1531311528209;-37.523712365785215;-166.75568652434018;-45.184248689706436;-177.97343103461537;-55.70676846515228;-174.47635345070964;-58.401544870352694;-154.91727767329215
8095fffffffffff;hex;-3.8245323459249;115.67172827000326;-14.482400617733104;114.23117809212033;-21.81463899460828;122.76988803599195;-18.914756857912398;133.81752542331913;-7.725284543519059;135.85958708181394;0.17017772412858376;126.31795557186994;-3.8245323459249;115.67172827000326
802ffffffffffff;hex;31.883963004159572;154.7440406879096;43.912304017571394;158.38289640953525;51.12825449972589;145.32851606893576;45.25361349098009;131.7744009814935;34.33115860097915;132.308377458042;27.949605976503904;142.43322175665756;31.883963004159572;154.7440406879096
8051fffffffffff;hex;8.931891500446865;-127.11406580207421;16.572699557873403;-118.48186571718104;28.653019311484535;-121.3366283326517;31.285608665560563;-134.10648897177788;22.885971422359727;-142.7188705783351;11.222876232379509;-138.42043748614526;8.931891500446865;-127.11406580207421
8017fffffffffff;hex;62.49215566258707;145.3361375450608;51.1282544997259;145.32851606893576;43.912304017571394;158.38289640953525;46.18001465709015;175.62099681678237;56.19652224584303;-175.74821876841352;66.19292316051032;172.86137139869209;62.49215566258707;145.3361375450608
8073fffffffffff;hex;12.387611570633617;128.2235738321257;0.17017772412858376;126.31795557186994;-7.725284543519059;135.85958708181394;-3.4549175353760164;147.5198718874505;8.70173997465801;149.7748737561887;16.77921462619375;140.1697245352548;12.387611570633617;128.2235738321257
8089fffffffffff;hex;-18.242012526672724;-148.8063085814878;-8.893462571252657;-142.1510646286996;1.677294938194503;-146.33638072286845;3.3357348575173527;-158.59967491814012;-5.762860491436932;-165.41674992858833;-16.505947603561054;-161.6348206171839;-18.242012526672724;-148.8063085814878
